fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.8,0.63,0.24,2.4,0.078,6.1,32.6,0.9997,3.08,0.57,9.4,5.1
6.1,0.34,0.25,1.8,0.084,4.0,28.0,0.9941,3.36,0.44,10.2,4.8
7.1,0.43,0.17,1.8,0.083,27.2,51.3,0.9941,3.51,0.63,10.4,5.5
8.6,0.47,0.27,1.9,0.058,17.5,37.6,0.9907,3.16,0.85,11.1,6.1
6.9,0.41,0.3,8.9,0.084,25.9,45.4,0.9861,3.35,0.64,10.2,5.6
8.0,0.82,0.29,4.3,0.082,20.8,65.7,0.9934,3.15,0.53,9.4,5.3
7.8,0.88,0.26,3.8,0.106,31.1,66.4,1.011,3.29,0.47,9.2,5.2
7.7,0.71,0.01,2.1,0.064,31.0,42.8,0.9831,3.4,0.57,11.9,5.8
7.5,0.44,0.31,2.1,0.069,12.9,72.5,0.9825,3.26,0.54,10.0,5.5
7.6,0.78,0.19,5.1,0.094,19.2,98.2,0.9985,3.18,0.52,9.6,6.0
9.8,0.39,0.43,1.6,0.067,5.1,11.1,0.9847,3.2,0.45,11.4,5.4
10.6,0.55,0.23,2.7,0.092,17.9,48.4,0.9895,3.22,0.63,10.4,6.4
10.3,0.64,0.24,2.8,0.104,28.9,52.6,1.0155,3.27,0.66,10.0,5.5
6.1,0.21,0.4,1.4,0.066,40.0,165.1,,3.24,0.58,11.8,5.9
9.7,0.32,0.53,2.5,0.096,28.0,83.8,1.0015,3.28,0.82,9.5,5.2
7.1,0.69,0.04,2.1,0.068,19.2,27.0,0.9849,3.42,0.67,10.0,5.4
6.9,0.52,0.25,2.6,0.08,10.0,37.1,0.9971,3.55,0.5,11.1,4.4
11.3,0.39,0.54,2.7,0.097,20.9,100.3,1.0024,3.11,0.51,9.6,4.8
6.9,0.63,0.02,2.1,0.067,8.9,23.1,,3.45,0.68,9.4,6.4
7.4,0.34,0.24,2.0,0.066,28.2,47.2,1.0004,3.43,0.53,10.1,4.2
7.1,0.57,0.0,1.7,0.052,3.0,7.9,0.9986,3.42,0.47,10.2,4.4
6.2,0.59,0.1,1.6,0.048,12.0,26.3,,3.56,0.51,12.1,4.6
